순번,상호명,수거종류,수거방법,수거장소(주소),장소구분,수거비용,위도,경도
11723,대덕테크노밸리 푸르지오하임 2단지,중소폐가전,수거함 설치,대전 유성구 배울1로 147 (용산동) ,공동주택(아파트 등),무상,36.417316957,127.395897449
11725,도룡 SK VIEW,중소폐가전,수거함 설치,대전 유성구 가정로 306-6 (도룡동) ,공동주택(아파트 등),무상,36.385285875,127.374347891
11726,드림월드 ,중소폐가전,수거함 설치,대전 유성구 문화원로 13 (장대동) ,공동주택(아파트 등),무상,36.361831837,127.337539801
11729,반석마을 5단지,중소폐가전,수거함 설치,대전 유성구 반석동로 33 (반석동) ,공동주택(아파트 등),무상,36.38968343,127.310988638
11730,반석마을 7단지 ,중소폐가전,수거함 설치,대전 유성구 반석서로 109 (반석동) ,공동주택(아파트 등),무상,36.39537123,127.308036351
11731,반석마을 8단지 ,중소폐가전,수거함 설치,대전 유성구 반석동로 82 (반석동) ,공동주택(아파트 등),무상,36.394689973,127.312006527
11732,봉산휴먼시아2단지 ,중소폐가전,수거함 설치,대전 유성구 와룡로136번길 75 (봉산동) ,공동주택(아파트 등),무상,36.438453108,127.38608868
11734,송강한마을아파트 ,중소폐가전,수거함 설치,대전 유성구 구즉로 16 (송강동) ,공동주택(아파트 등),무상,36.431295437,127.384800919
11735,송림마을 2단지 ,중소폐가전,수거함 설치,대전 유성구 송림로 20 (하기동) ,공동주택(아파트 등),무상,36.387829799,127.320681351
11737,송림마을 6단지 ,중소폐가전,수거함 설치,대전 유성구 노은로426번길 15 (하기동) ,공동주택(아파트 등),무상,36.389780654,127.331337561
11738,스마트시티(2단지),중소폐가전,수거함 설치,대전 유성구 엑스포로123번길 65-38 (도룡동) ,공동주택(아파트 등),무상,36.37803488,127.391070563
11739,스마트시티(5단지) ,중소폐가전,수거함 설치,대전 유성구 엑스포로123번길 46-15 (도룡동) ,공동주택(아파트 등),무상,36.377757204,127.394066514
11740,스타돔아파트,중소폐가전,수거함 설치,대전 유성구 노은로 71 (노은동) ,공동주택(아파트 등),무상,36.366039405,127.317257933
